pdb_id,chains,is_tcr,is_vhh,is_iglike
8rtw,BA,False,False,False
8rtw,DC,False,False,False
8rtx,BA,False,False,False
8rtx,DC,False,False,False
8rtx,FE,False,False,False
8tx3,HL,False,False,False
8tx3,EJ,False,False,False
8tx3,FK,False,False,False
8txu,EJ,False,False,False
8txu,FK,False,False,False
8txu,HL,False,False,False
8s4h,AB,False,False,False
8s4h,CD,False,False,False
8s4h,HL,False,False,False
8s4k,HL,False,False,False
8u70,BA,False,False,False
8u70,DC,False,False,False
8u70,FE,False,False,False
8u70,JI,False,False,False
8u70,LK,False,False,False
8u70,HG,False,False,False
8vs7,AB,False,False,False
8vs7,HL,False,False,False
8vs8,AB,False,False,False
8vs8,DC,False,False,False
8vs8,EF,False,False,False
8vs8,HG,False,False,False
8vs8,IJ,False,False,False
8vs8,LK,False,False,False
8vs8,MN,False,False,False
8vs8,PO,False,False,False
8vs8,QR,False,False,False
8vs8,TS,False,False,False
8vs8,UV,False,False,False
8vs8,XW,False,False,False
8vs8,YZ,False,False,False
8vs8,ba,False,False,False
8vs8,cd,False,False,False
8vs8,fe,False,False,False
8vym,DE,False,False,False
8vym,GF,False,False,False
8vym,KH,False,False,False
8vym,JI,False,False,False
8vyn,DE,False,False,False
8vyn,FG,False,False,False
8vyn,HI,False,False,False
8vyn,JK,False,False,False
8vyn,LM,False,False,False
8vyn,NO,False,False,False
8xor,Ee,False,False,False
8ulf,HL,False,False,False
8ulf,IM,False,False,False
8ulf,JN,False,False,False
8ulf,KO,False,False,False
8w70,BA,False,False,False
8y4a,HL,False,False,False
8y4a,DE,False,False,False
8yxi,CB,False,False,False
9clp,HL,False,False,False
9ima,CD,False,False,False
9jbq,AB,False,False,False
8keh,GF,False,False,False
8keh,ED,False,False,False
8vr9,ED,False,False,False
8vra,ED,False,False,False
8vrb,ED,False,False,False
8jxs,HL,False,False,False
8sow,Cc,False,False,False
8soz,Cc,False,False,False
9b44,AB,False,False,False
9b44,HL,False,False,False
9iy0,HL,False,False,False
8tkc,GH,False,False,False
8tkc,IJ,False,False,False
8tkc,KL,False,False,False
8tl2,GH,False,False,False
8tl2,KL,False,False,False
8tl3,GH,False,False,False
8tl3,IJ,False,False,False
8tl3,KL,False,False,False
8tl4,GH,False,False,False
8tl4,IJ,False,False,False
8tl4,KL,False,False,False
8tl5,GH,False,False,False
8tl5,IJ,False,False,False
8tl5,KL,False,False,False
8tbb,HL,False,False,False
8tft,IM,False,False,False
8tft,HL,False,False,False
8tuz,HL,False,False,False
8tv3,HL,False,False,False
8tvd,HL,False,False,False
8tvd,BA,False,False,False
8tvj,HL,False,False,False
9iy2,HL,False,False,False
9iy2,DC,False,False,False
9iy2,EF,False,False,False
9iy2,GI,False,False,False
9ijd,Dd,False,False,False
9ije,Dd,False,False,False
8jjp,Ss,False,False,False
8tzq,Ee,False,False,False
8xgm,Ss,False,False,False
8kdm,ED,False,False,False
8kdm,GF,False,False,False
8q3j,CB,False,False,False
8q3j,FE,False,False,False
8kdr,HL,False,False,False
8kds,ED,False,False,False
8kds,GF,False,False,False
8kds,IH,False,False,False
8kdt,HL,False,False,False
8keo,ED,False,False,False
8keo,GF,False,False,False
8keo,IH,False,False,False
8kep,HL,False,False,False
8keq,ED,False,False,False
8keq,GF,False,False,False
8ker,IH,False,False,False
8ker,ED,False,False,False
8ker,GF,False,False,False
8tnj,DC,False,False,False
8tnj,EF,False,False,False
8u5l,Ff,False,False,False
8u5l,Hh,False,False,False
8u5l,Jj,False,False,False
8u5l,Kk,False,False,False
8vy4,AB,False,False,False
8sdh,HL,False,False,False
8sdh,CD,False,False,False
9b74,HL,False,False,False
9b76,HL,False,False,False
8k6m,Ss,False,False,False
8k6n,Ss,False,False,False
8k6o,Ss,False,False,False
8kgg,Ee,False,False,False
8qkr,BC,False,False,False
8qkr,EF,False,False,False
8ry2,AB,False,False,False
8ry2,HL,False,False,False
8t59,AB,False,False,False
8t59,CD,False,False,False
8tmy,HL,False,False,False
8tmy,AB,False,False,False
8tmy,CD,False,False,False
8tmz,HL,False,False,False
8tv2,DE,False,False,False
8tv2,AB,False,False,False
8vcr,DF,False,False,False
8vcr,EG,False,False,False
8vcr,HL,False,False,False
8xx0,HL,False,False,False
8xx0,AB,False,False,False
8yww,Hh,False,False,False
8yww,ED,False,False,False
8yww,GF,False,False,False
9f18,HL,False,False,False
9f18,IM,False,False,False
9f1i,HL,False,False,False
9f1i,IM,False,False,False
7x35,HL,False,False,False
8thz,HL,False,False,False
8thz,EF,False,False,False
8vif,HL,False,False,False
8vke,HL,False,False,False
8vke,AB,False,False,False
9eup,HL,False,False,False
8udz,CD,False,False,False
8q5y,RL,False,False,False
8q5y,GH,False,False,False
8q5y,BA,False,False,False
8k3z,Ss,False,False,False
8rz0,Bb,False,False,False
8rz0,Dd,False,False,False
8rz0,Ff,False,False,False
